epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8752.58,1.33422,1.90279,1.73235,0.62361,0.58324,0.60477,0.44109,1.36039,1.73291,1.73877,0.0007294,0.0007294,0.0007294
43,8968.61,1.30758,1.86219,1.72081,0.66595,0.56566,0.61179,0.45493,1.37815,1.71003,1.76692,0.0007228,0.0007228,0.0007228
44,9161.56,1.32024,1.87367,1.73058,0.60225,0.60841,0.61214,0.44895,1.35601,1.70251,1.74824,0.0007162,0.0007162,0.0007162
45,9351.94,1.31472,1.87979,1.72511,0.65651,0.58486,0.61811,0.45464,1.34839,1.71231,1.72726,0.0007096,0.0007096,0.0007096
46,9563.39,1.30342,1.84687,1.71945,0.64197,0.59195,0.61179,0.44709,1.37418,1.71933,1.76984,0.000703,0.000703,0.000703
47,9769.9,1.32289,1.84866,1.74261,0.59829,0.60208,0.60223,0.43109,1.3963,1.76987,1.80012,0.0006964,0.0006964,0.0006964
48,9961.87,1.30007,1.84977,1.7128,0.62306,0.6054,0.6109,0.45232,1.35592,1.71767,1.74715,0.0006898,0.0006898,0.0006898
49,10178.4,1.29294,1.81534,1.69989,0.63673,0.5969,0.61986,0.46229,1.34786,1.69091,1.73111,0.0006832,0.0006832,0.0006832
50,10396.8,1.29563,1.84039,1.70678,0.6433,0.6094,0.62526,0.46509,1.34293,1.66631,1.72808,0.0006766,0.0006766,0.0006766
51,10595.9,1.28798,1.81202,1.70142,0.63909,0.58593,0.60969,0.44524,1.37307,1.7297,1.76535,0.00067,0.00067,0.00067
52,10800.2,1.28684,1.80206,1.68875,0.63565,0.59891,0.62612,0.46947,1.33861,1.65607,1.71629,0.0006634,0.0006634,0.0006634
53,11012.5,1.27052,1.7688,1.67347,0.66345,0.60204,0.6252,0.46625,1.32251,1.64214,1.70521,0.0006568,0.0006568,0.0006568
54,11204.6,1.26962,1.79422,1.68268,0.64613,0.62681,0.63267,0.46969,1.32441,1.60835,1.69776,0.0006502,0.0006502,0.0006502
55,11395.3,1.28362,1.77392,1.68616,0.68245,0.59947,0.6299,0.47083,1.33629,1.623,1.71423,0.0006436,0.0006436,0.0006436
56,11588.8,1.28139,1.78174,1.69195,0.64224,0.62794,0.63572,0.47168,1.31646,1.61431,1.69495,0.000637,0.000637,0.000637
57,11802.2,1.276,1.76825,1.67516,0.64625,0.62448,0.63931,0.47151,1.309,1.59757,1.68803,0.0006304,0.0006304,0.0006304
58,12009.1,1.2604,1.73353,1.66516,0.66749,0.60815,0.63575,0.46809,1.31897,1.63153,1.6928,0.0006238,0.0006238,0.0006238
59,12206.4,1.26654,1.77025,1.67578,0.66319,0.61626,0.63465,0.47575,1.32724,1.63325,1.70146,0.0006172,0.0006172,0.0006172
60,12400.1,1.25704,1.73087,1.66536,0.68639,0.62009,0.64781,0.4767,1.31811,1.58417,1.69166,0.0006106,0.0006106,0.0006106
61,12594.4,1.25408,1.72402,1.6703,0.64984,0.6284,0.63904,0.47223,1.30175,1.59409,1.67953,0.000604,0.000604,0.000604
62,12794.3,1.24681,1.71446,1.66871,0.6468,0.61416,0.63723,0.46964,1.32463,1.60153,1.68938,0.0005974,0.0005974,0.0005974
63,13003.2,1.23526,1.70969,1.64815,0.68819,0.62168,0.64661,0.48896,1.3001,1.56537,1.68382,0.0005908,0.0005908,0.0005908
